Voltage(V)	Current(A)	PD Current(A)	J (mA/cm2)	L (cd/m2)	Cur Eff (cd/A)	Power Eff (lm/W)	EQE(%)	CIE X	CIE Y	Wav (nm)	Intensity (au)	NeV (V)	NeJ (mA/cm2))
										5.546E+2	3.371E-6		
										5.549E+2	1.551E-5		
										5.553E+2	1.012E-5		
										5.556E+2	4.720E-6		
										5.560E+2	2.630E-5		
										5.563E+2	6.071E-6		
										5.566E+2	1.079E-5		
										5.570E+2	1.079E-5		
										5.573E+2	2.091E-5		
										5.577E+2	5.394E-6		
										5.580E+2	1.416E-5		
										5.584E+2	4.045E-6		
										5.587E+2	2.900E-5		
										5.590E+2	1.079E-5		
										5.594E+2	5.193E-5		
										5.597E+2	1.754E-5		
										5.601E+2	1.079E-5		
										5.604E+2	1.079E-5		
										5.608E+2	2.630E-5		
										5.611E+2	1.214E-5		
										5.615E+2	2.023E-6		
										5.618E+2	1.416E-5		
										5.622E+2	8.094E-6		
										5.625E+2	2.697E-6		
										5.628E+2	1.079E-5		
										5.632E+2	1.821E-5		
										5.635E+2	4.045E-6		
										5.639E+2	3.035E-5		
										5.642E+2	4.990E-5		
										5.646E+2	6.542E-5		
										5.649E+2	5.935E-5		
										5.652E+2	1.821E-5		
										5.656E+2	2.226E-5		
										5.659E+2	1.551E-5		
										5.663E+2	1.349E-5		
										5.666E+2	2.967E-5		
										5.670E+2	5.394E-6		
										5.673E+2	2.967E-5		
										5.677E+2	3.035E-5		
										5.680E+2	3.642E-5		
										5.683E+2	2.226E-5		
										5.687E+2	5.328E-5		
										5.690E+2	8.768E-6		
										5.694E+2	4.788E-5		
										5.697E+2	3.237E-5		
										5.701E+2	3.844E-5		
										5.704E+2	2.226E-5		
										5.708E+2	4.519E-5		
										5.711E+2	9.442E-6		
										5.714E+2	2.698E-5		
										5.718E+2	3.305E-5		
										5.721E+2	5.800E-5		
										5.725E+2	4.586E-5		
										5.728E+2	2.967E-5		
										5.732E+2	6.272E-5		
										5.735E+2	7.688E-5		
										5.738E+2	1.618E-5		
										5.742E+2	4.923E-5		
										5.745E+2	5.800E-5		
										5.749E+2	3.574E-5		
										5.752E+2	7.486E-5		
										5.756E+2	5.395E-5		
										5.759E+2	6.811E-5		
										5.762E+2	2.765E-5		
										5.766E+2	5.260E-5		
										5.769E+2	6.946E-5		
										5.773E+2	7.283E-5		
										5.776E+2	6.744E-5		
										5.780E+2	6.272E-5		
										5.783E+2	5.058E-5		
										5.786E+2	9.576E-5		
										5.790E+2	8.700E-5		
										5.793E+2	7.486E-5		
										5.797E+2	9.846E-5		
										5.800E+2	9.711E-5		
										5.803E+2	1.072E-4		
										5.807E+2	8.835E-5		
										5.810E+2	9.239E-5		
										5.814E+2	1.423E-4		
										5.817E+2	1.221E-4		
										5.821E+2	1.140E-4		
										5.824E+2	1.275E-4		
										5.828E+2	1.180E-4		
										5.831E+2	1.261E-4		
										5.834E+2	1.517E-4		
										5.838E+2	1.322E-4		
